name,Per capita Income,"Food, beverages & tobacco",Clothing & footwear,Housing,House furnishing,Medical & health,Transport & communication,Recreation,Education,Other
Iran,0.251,0.657,0.965,1.065,1.049,1.301,1.152,1.391,0.92,1.304
Latvia,0.27,0.648,0.965,1.065,1.049,1.295,1.15,1.38,0.92,1.298
Mexico,0.274,0.646,0.965,1.065,1.049,1.293,1.15,1.378,0.92,1.296
Lebanon,0.284,0.642,0.965,1.065,1.049,1.29,1.149,1.373,0.919,1.293
Poland,0.314,0.628,0.965,1.065,1.049,1.282,1.147,1.359,0.919,1.285
Croatia,0.316,0.627,0.965,1.065,1.049,1.281,1.147,1.358,0.919,1.284
Macao,0.318,0.626,0.965,1.064,1.049,1.281,1.147,1.358,0.919,1.284
Lithuania,0.319,0.626,0.965,1.064,1.049,1.281,1.147,1.358,0.919,1.284
Estonia,0.332,0.62,0.965,1.064,1.049,1.278,1.146,1.352,0.918,1.28
brunei,0.347,0.614,0.965,1.064,1.049,1.274,1.145,1.347,0.918,1.277
Slovakia,0.351,0.612,0.965,1.064,1.049,1.273,1.145,1.345,0.918,1.276
Hungary,0.353,0.611,0.965,1.064,1.049,1.273,1.144,1.345,0.918,1.276
South Korea,0.379,0.6,0.965,1.064,1.048,1.268,1.143,1.336,0.917,1.27
Bahrain,0.38,0.6,0.965,1.064,1.048,1.268,1.143,1.336,0.917,1.27
Czech Republic,0.42,0.583,0.965,1.063,1.048,1.261,1.141,1.325,0.917,1.263
Slovenia,0.439,0.575,0.965,1.063,1.048,1.258,1.14,1.321,0.916,1.26
Israel,0.446,0.572,0.965,1.063,1.048,1.257,1.14,1.319,0.916,1.259
Portugal,0.466,0.564,0.965,1.063,1.048,1.254,1.139,1.315,0.916,1.256
Qatar,0.474,0.561,0.965,1.063,1.048,1.253,1.139,1.313,0.916,1.255
Singapore,0.48,0.558,0.965,1.063,1.048,1.252,1.138,1.312,0.916,1.254
Malta,0.501,0.55,0.964,1.063,1.048,1.249,1.138,1.308,0.916,1.251
Kuwait,0.507,0.547,0.964,1.063,1.048,1.248,1.137,1.307,0.915,1.251
